pattern_id,pattern,match_count,seconds
125,*/Library/Application Support/database.sqlite*,0,1.915775
126,**/containermanagerd.log.*,1,1.884635
127,*/mobile/Library/CoreAccessories/Analytics/acc_analytics_UserEventAgent_v3.db*,0,1.909573
128,*/com.apple.assetsd/cloudServiceEnableLog.plist,1,0.501120
129,*/Environments/Production/Accounts/*/*-internal.cashappapi.com.sqlite*,0,1.882429
130,*/Biome/sync/sync.db*,3,1.934350
131,*/mobile/Library/Preferences/com.apple.cmfsyncagent.plist,1,0.499610
132,*/Library/Preferences/com.apple.mobileslideshow.plist,1,0.485825
133,*/DuetExpertCenter/streams/location/local/*,0,1.890290
134,*/Biome/streams/public/Backlight/local/*,2,1.841773
135,**/Reminders/Container_v1/Stores/*.sqlite*,15,1.835801
136,*/otctl_status.txt,0,0.501449
137,*/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/sysdiagnose_*.tar.gz,0,1.837041
138,*/mobile/Library/Passes/passes23.sqlite*,1,1.917814
139,*/db/dhcpclient/leases/en*,1,1.955099
140,*/mobile/Library/SMS/sms*,3,1.953521
141,**/Library/Application Support/CachedRoutes/*.plist,0,2.039418
142,*/Biome/streams/restricted/_DKEvent.Wifi.Connection/local/*,0,1.955888
143,**/Safari/BrowserState.db*,3,1.955285
144,**/Safari/CloudTabs.db*,3,1.992954
145,*/mobile/MobileSoftwareUpdate/restore.log,1,0.545519
146,*/DES/Records/com.apple.TextInput.TypingDESPlugin/*.desdata,0,1.949695
147,*/mobile/Library/Preferences/com.apple.identityservices.idstatuscache.plist,0,0.519463
148,*/mobile/Library/IdentityServices/idstatuscache.plist,1,0.525027
149,*/mobile/Library/Preferences/com.apple.mobiletimer.plist,1,0.532855
150,*/NoteStore.sqlite*,3,1.988026
151,*/iclouddrive/Metadata.txt,0,0.627842
152,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.BeReal.plist,1,2.026958
153,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-ProfileRepository/*,1,1.959764
154,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsContactsManager-contact/*,1,1.865928
155,*/mobile/Containers/Data/Application/*/Library/Caches/PersonRepository/*,0,1.955057
156,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsFriendsListManager/*,1,1.902646
157,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsRequestSentListManager/*,1,2.243759
158,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-RelationshipsRequestReceivedListManager/*,1,1.858356
159,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-Production_FriendsStorage.following/*,0,1.965386
160,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-Production_FriendsStorage.followers/*,0,1.932828
161,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-BlockedUserManager/*,1,1.974190
162,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-MemoriesRepository-subject-key/*,1,1.902736
163,*/mobile/Containers/Shared/AppGroup/*/disk-bereal-Production_postFeedItems/*,0,1.969354
164,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-MemoriesRepository-pinnedMemories-key/*,0,1.848574
165,*/mobile/Containers/Data/Application/*/Library/Caches/disk-bereal-PersonRepository-pinnedMemories-key/*,0,1.854975
