Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
Ph82comappleMediaAnalysisDPlist,Ph82-Com-Apple-MediaAnalysisD-Plist,*/mobile/Library/Preferences/com.apple.mediaanalysisd.plist,josh-hickman-ios15.csv,1,0.2992
Ph82comappleMediaAnalysisDPlist,Ph82-Com-Apple-MediaAnalysisD-Plist,*/mobile/Library/Preferences/com.apple.mediaanalysisd.plist,belkasoft-ctf6-ios-dev1.csv,1,0.0450
Ph82comappleMediaAnalysisDPlist,Ph82-Com-Apple-MediaAnalysisD-Plist,*/mobile/Library/Preferences/com.apple.mediaanalysisd.plist,magnet-mvs-2023-ios.csv,1,0.2140
Ph81comappleCameraPlist,Ph81-Com-Apple-Camera-Plist,*/mobile/Library/Preferences/com.apple.camera.plist,josh-hickman-ios15.csv,1,0.2957
Ph81comappleCameraPlist,Ph81-Com-Apple-Camera-Plist,*/mobile/Library/Preferences/com.apple.camera.plist,belkasoft-ctf6-ios-dev1.csv,1,0.0472
Ph81comappleCameraPlist,Ph81-Com-Apple-Camera-Plist,*/mobile/Library/Preferences/com.apple.camera.plist,magnet-mvs-2023-ios.csv,1,0.2140
Ph22AssetsInNonSharedAlbums,Ph22-Assets in Non-Shared Albums-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8969
Ph22AssetsInNonSharedAlbums,Ph22-Assets in Non-Shared Albums-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1444
Ph22AssetsInNonSharedAlbums,Ph22-Assets in Non-Shared Albums-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6761
line,line,**/Line.sqlite*,josh-hickman-ios15.csv,3,0.8911
line,line,**/Line.sqlite*,belkasoft-ctf6-ios-dev1.csv,0,0.1427
line,line,**/Line.sqlite*,magnet-mvs-2023-ios.csv,0,0.6557
Ph33AssetsIniCldSPLfromOtherContrib,Ph33-iCld SPL Assets from other contrib-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8834
Ph33AssetsIniCldSPLfromOtherContrib,Ph33-iCld SPL Assets from other contrib-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1441
Ph33AssetsIniCldSPLfromOtherContrib,Ph33-iCld SPL Assets from other contrib-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6536
Ph11KwrdsCapsTitlesDescripsBasicAssetData,Ph11-KwrdsCapsTitlesDescripsLikesBasicAsstData-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.9021
