Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
photosMetadata,photosMetadata,*/mobile/Media/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1517
photosMetadata,photosMetadata,*/mobile/Media/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6684
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9217
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1501
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6944
Ph32AssetsIniCldSPLwContrib,Ph32-iCloud SPL Assets with Contributor-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9110
Ph32AssetsIniCldSPLwContrib,Ph32-iCloud SPL Assets with Contributor-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1541
Ph32AssetsIniCldSPLwContrib,Ph32-iCloud SPL Assets with Contributor-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6878
biomeDevplugin,biomeDevplugin,*/biome/streams/restricted/_DKEvent.Device.IsPluggedIn/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8902
biomeDevplugin,biomeDevplugin,*/biome/streams/restricted/_DKEvent.Device.IsPluggedIn/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1486
biomeDevplugin,biomeDevplugin,*/biome/streams/restricted/_DKEvent.Device.IsPluggedIn/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6705
weatherAppLocations,weatherAppLocations,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.com.apple.weather.plist,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,1,0.8663
weatherAppLocations,weatherAppLocations,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.com.apple.weather.plist,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,1,0.1477
weatherAppLocations,weatherAppLocations,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.com.apple.weather.plist,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.6432
mobileInstall,mobileInstall,**/mobile_installation.log.*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,2,0.9018
mobileInstall,mobileInstall,**/mobile_installation.log.*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1510
mobileInstall,mobileInstall,**/mobile_installation.log.*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6818
ATXDatastore,get_atxDatastore,**DuetExpertCenter/_ATXDataStore.db*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8636
ATXDatastore,get_atxDatastore,**routined/Local.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8743
ATXDatastore,get_atxDatastore,**DuetExpertCenter/_ATXDataStore.db*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1475
