pattern_id,pattern,match_count,seconds
223,*/cloudphotolibrary/Metadata.txt,0,0.065420
224,*/mobile/Containers/Data/Application/*/Library/Application Support/DirectSQLiteDatabase/*.db*,1,0.019158
225,*/containers/Shared/SystemGroup/*/Library/Caches/com.apple.lsdidentifiers.plist,1,0.066661
226,*/mobile/Library/Preferences/com.apple.sharingd.plist,1,0.002557
227,*/userNotificationEvents/local/*,2,1.279099
228,*/mobile/Library/MedicalID/MedicalIDData.archive,0,0.001193
229,*preferences/SystemConfiguration/preferences.plist,1,0.056884
230,*/mobile/Containers/Data/Application/*/Library/Maps/GeoHistory.mapsdata,0,0.007006
231,*/GeoHistory.mapsdata,0,0.071824
232,*/CoreSpotlight/SpotlightKnowledge/index.V2/keyphrases/NSFileProtectionComplete/skg_archive.V2.*,0,1.268974
233,*/CoreSpotlight/SpotlightKnowledge/index.V2/archives/NSFileProtectionComplete/skg_archive.V2.*,0,1.305186
234,*/CoreSpotlight/SpotlightKnowledge/index.V2/archives/NSFileProtectionCompleteUntilFirstUserAuthentication/skg_archive-*,0,1.224410
235,**/Library/Database/com.apple.MobileBluetooth.ledevices.other.db*,3,0.091885
236,*/mobile/Containers/Data/Application/*/Library/Caches/com.apple.Passbook/Cache.db*,3,0.011152
237,**/Containers/Data/Application/*/Library/Application Support/conversations-*/*.*,0,0.144281
238,**/Containers/Data/Application/*/Library/Application Support/drafts-*/*.*,0,0.139647
239,**/Containers/Data/Application/*/Library/Preferences/com.openai.chat.StatsigService.plist,0,0.004816
240,**/Containers/Data/Application/*/Library/Preferences/com.segment.storage.oai.plist,0,0.005708
241,**/Containers/Data/Application/*/Library/Preferences/com.openai.chat.plist,0,0.006719
242,**/Containers/Data/Application/*/tmp/recordings/*.*,0,0.141923
243,**/Containers/Data/Application/*/tmp/photo-*.*,0,0.154452
244,**/Containers/Data/Application/*/tmp/*/*.*,48,0.149741
245,*/mobile/Containers/Data/Application/*/Library/FolderLockAdvanced.sqlite*,0,0.015070
246,*/mobile/Containers/Data/Application/*/Documents/FolderLockAdvanced/Videos/Movies/*,0,0.144969
247,*/com.apple.wifi.plist,1,0.055537
248,*/com.apple.wifi-networks.plist.backup,0,0.059033
249,*/com.apple.wifi.known-networks.plist,1,0.061417
250,*/com.apple.wifi-private-mac-networks.plist,1,0.066502
251,*/mobile/Containers/Data/Application/*/Documents/RCTAsyncLocalStorage_V1/manifest.json,0,0.004740
252,*/Library/Preferences/com.apple.locationd.plist,2,0.057897
253,*/Library/Caches/locationd/clients.plist,1,0.056359
254,*/Library/Preferences/com.apple.routined.plist,1,0.060709
255,*/Documents/search_history/history_words/AWESearchHistory*,0,1.358226
256,*/mobile/Library/Preferences/com.apple.icloud.findmydeviced.FMIPAccounts.plist,1,0.002360
257,*/mobile/Library/ControlCenter/ModuleConfiguration.plist,1,0.002993
258,*/mobile/Library/Logs/AppConduit/AppConduit.log.*,0,0.026742
259,**/com.apple.MobileBluetooth.devices.plist,1,0.057477
260,*/Application/*/Library/Application Support/ChatFiles/*/db.sqlite*,3,0.080184
261,*AwemeIM.db*,1,0.065797
262,*/mobile/Library/Application Support/CloudDocs/session/db/server.db*,3,0.002733
263,*/mobile/Library/Application Support/CloudDocs/session/db/client.db*,3,0.001856
264,*/iTunesMetadata.plist,54,0.125661
265,**/BundleMetadata.plist,80,0.055325
266,*/Biome/streams/public/NowPlaying/local/*,2,1.276463
267,*/Library/Preferences/com.linkedin.LinkedIn.plist,0,0.062138
268,*/Documents/msg_database.sqlite,0,0.058992
269,info.plist,0,0.000013
270,**/speedtest.sqlite*,0,0.108307
271,*/Library/Preferences/com.apple.MobileBackup.plist,1,0.063771
272,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/chunked_upload_storage/pending_uploads,1,0.002394
273,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/chunked_upload_storage/data_cache/*,0,0.023476
274,*/mobile/Containers/Data/Application/*/Documents/database.db*,0,0.013265
275,*/mobile/Library/Preferences/com.apple.MobileSMS.plist,1,0.001455
276,*/mobile/Library/Preferences/com.apple.mobileSMS.plist,0,0.003057
277,*/Chrome/Default/History*,2,1.275636
278,*/app_sbrowser/Default/History*,0,1.253993
279,*/app_opera/History*,0,1.284320
280,*/Chromium/Default/History*,2,1.281581
281,*/Chrome/Default/Web Data*,2,1.288314
282,*/app_sbrowser/Default/Web Data*,0,1.311459
283,*/app_opera/Web Data*,0,1.297322
284,*/Chromium/Default/Web Data*,2,1.276350
285,*/Chrome/Default/Bookmarks*,1,1.322186
286,*/app_sbrowser/Default/Bookmarks*,0,1.266344
287,*/app_opera/Bookmarks*,0,1.317887
288,*/Chromium/Default/Bookmarks*,0,1.346905
289,*/Chrome/Default/Cookies*,0,1.284786
290,*/app_sbrowser/Default/Cookies*,0,1.327374
291,*/app_opera/Cookies*,0,1.408373
292,*/Chromium/Default/Cookies*,0,1.271075
293,*/Chrome/Default/Login Data*,2,1.319683
294,*/app_sbrowser/Default/Login Data*,0,1.360612
295,*/app_opera/Login Data*,0,1.300297
296,*/Chromium/Default/Login Data*,2,1.299604
297,*/Chrome/Default/Top Sites*,2,1.316393
298,*/app_sbrowser/Default/Top Sites*,0,1.288222
299,*/app_opera/Top Sites*,0,1.276277
300,*/Chromium/Default/Top Sites*,0,1.286120
301,*/Chrome/Default/Offline Pages/metadata/OfflinePages.db*,0,0.104005
302,*/app_sbrowser/Default/Offline Pages/metadata/OfflinePages.db*,0,0.106649
303,*/Chromium/Default/Offline Pages/metadata/OfflinePages.db*,0,0.113753
304,*/Chrome/Default/Media History*,0,1.255139
305,*/app_sbrowser/Default/Media History*,0,1.277570
306,*/app_opera/Media History*,0,1.301112
307,*/Chromium/Default/Media History*,0,1.306077
308,*/Chrome/Default/Network Action Predictor*,0,1.273692
309,*/app_sbrowser/Default/Network Action Predictor*,0,1.302246
310,*/app_opera/Network Action Predictor*,0,1.256687
311,*/Chromium/Default/Network Action Predictor*,0,1.291183
312,*/mobile/Library/Preferences/com.apple.AppStore.plist,1,0.002041
313,*/mobile/Containers/Data/Application/*/Library/Preferences/com.adhoclabs.burner.plist,1,0.007453
314,*/mobile/Containers/Data/Application/*/Library/Caches/com.adhoclabs.burner/Cache.db*,3,0.010252
315,*/Library/Caches/com.adhoclabs.burner/fsCachedData/*,6,1.314617
316,*/mobile/Library/Voicemail/voicemail.db*,1,0.001676
317,*/mobile/Library/Voicemail/*.amr,0,0.024774
318,*/mobile/Library/Voicemail/*.transcript,0,0.024667
319,*/mobile/Library/CoreAccessories/Analytics/acc_analytics_accessoryd_v3.db*,0,0.006406
320,*/db/timed/Library/Preferences/com.apple.preferences.datetime.plist,1,0.072123
321,*/mobile/Containers/Data/Application/*/Documents/user.db*,1,0.009080
322,*/mobile/Containers/Shared/AppGroup/*/Documents/tgdata.db*,0,0.005748
323,*/mobile/Containers/Shared/AppGroup/*/Documents/files/*,0,0.023087
324,*/mobile/Containers/Shared/AppGroup/*/Documents/video/*,0,0.022336
325,*/mobile/Containers/Shared/AppGroup/*/Documents/shareDialogList.db*,0,0.008368
326,*/device_values.plist,0,0.060114
327,*/Library/Caches/de.audi.myaudimobileassistant/fsCachedData/**,0,1.331949
328,*/var/mobile/Library/CallHistoryTransactions/transactions.log*,0,0.019424
329,**/SpringBoard/IconState.plist,1,0.063662
330,*/mobile/Containers/Data/Application/*/Documents/persistStore/persist-root,0,0.009124
331,*/Library/Caches/conversation_cache,0,0.063518
332,*/mobile/Containers/Data/Application/*/Library/Application Support/RongCloud/*/storage*,0,0.141679
333,*/mobile/Library/CoreDuet/People/interactionC.db*,3,0.002353
334,*/mobile/Library/Mail/* Index*,6,0.023234
335,*/mobile/Containers/Data/Application/*/Documents/translate.db*,0,0.012192
336,**/kik.sqlite*,3,0.088748
337,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/content_manager/data_cache/*,2,0.020424
338,**/Safari/History.db*,3,0.077177
339,*/mobile/Containers/Shared/AppGroup/*/CCEntitySync-api.squareup.com.sqlite*,0,0.002894
